abbreviation	full_name	category	status	aliases
ALK	Anaplastic lymphoma kinase	Biomarker/gene	current	
HL	Hodgkin lymphoma	Classification hierarchy	current	
ID-TLL	Immune deficiency/dysregulation-associated tumour-like lesion	Classification hierarchy	current	
LN	Lymphoid neoplasm	Classification hierarchy	current	
LN-IDD	Lymphoid neoplasm associated with immune deficiency or dysregulation	Classification hierarchy	current	
LPD	Lymphoproliferative disorder	Classification hierarchy	current	
LPD-IDD	Lymphoproliferative disorder associated with immune deficiency or dysregulation	Classification hierarchy	current	
M-BCN	Mature B-cell neoplasm	Classification hierarchy	current	
NHL	Non-Hodgkin lymphoma	Classification hierarchy	current	
PM-LN	Plasma-cell or mature lymphoid neoplasm grouping	Classification hierarchy	current	
PNSLP	Pre-neoplastic and neoplastic small lymphocytic proliferation	Classification hierarchy	current	
SBL	Splenic B-cell lymphomas and leukemias	Classification hierarchy	current	
TLL	Tumour-like lesion	Classification hierarchy	current	
C-ALCL	Primary cutaneous anaplastic large cell lymphoma	Cutaneous T-cell	current	
CD30+PCLPD	CD30-positive primary cutaneous T-cell lymphoproliferative disorder	Cutaneous T-cell	current	
CTCL	Cutaneous T-cell lymphoma	Cutaneous T-cell	current	
LyP	Lymphomatoid papulosis	Cutaneous T-cell	current	
MF	Mycosis fungoides	Cutaneous T-cell	current	
PCAETL	Primary cutaneous CD8-positive aggressive epidermotropic cytotoxic T-cell lymphoma	Cutaneous T-cell	current	
PCCD4-TCL	Primary cutaneous CD4-positive small/medium T-cell lymphoma	Cutaneous T-cell	legacy	
PCCD8-TCL	Primary cutaneous CD8-positive aggressive epidermotropic cytotoxic T-cell lymphoma	Cutaneous T-cell	legacy	
PCGD-TCL	Primary cutaneous gamma-delta T-cell lymphoma	Cutaneous T-cell	current	
PCPTCL-NOS	Primary cutaneous peripheral T-cell lymphoma, not otherwise specified	Cutaneous T-cell	current	
PCSM-LPD	Primary cutaneous CD4-positive small/medium T-cell lymphoproliferative disorder	Cutaneous T-cell	current	
PCTCL-NOS	Primary cutaneous T-cell lymphoma, not otherwise specified	Cutaneous T-cell	legacy	
SPTCL	Subcutaneous panniculitis-like T-cell lymphoma	Cutaneous T-cell	current	
CAEBV	Chronic active Epstein–Barr virus disease	EBV-associated T/NK-cell	current	
EBV+LPD-PED	Epstein–Barr virus-positive lymphoproliferative disease of childhood	EBV-associated T/NK-cell	legacy	
HV-LPD	Hydroa vacciniforme lymphoproliferative disorder	EBV-associated T/NK-cell	current	
HVL	Hydroa vacciniforme-like lymphoproliferative disease	EBV-associated T/NK-cell	legacy	
SEBVTCL	Systemic Epstein–Barr virus-positive T-cell lymphoma of childhood	EBV-associated T/NK-cell	current	
CNS	Central nervous system	General terminology	current	
GI	Gastrointestinal	General terminology	current	
NOS	Not otherwise specified	General terminology	current	
WHO-HAEM4	World Health Organization classification of haematolymphoid tumours, fourth edition	General terminology	legacy	
WHO-HAEM5	World Health Organization classification of haematolymphoid tumours, fifth edition	General terminology	current	
CHL	Classical Hodgkin lymphoma	Hodgkin lymphoma	current	
NLPHL	Nodular lymphocyte-predominant Hodgkin lymphoma	Hodgkin lymphoma	current	
HIV-CHL	HIV-associated classical Hodgkin lymphoma	Immune deficiency/dysregulation	current	
HIV-LPD	HIV-associated lymphoproliferative disorder	Immune deficiency/dysregulation	umbrella	
HIV-LPD-B-cell	HIV-associated B-cell lymphoproliferative disorder or lymphoma	Immune deficiency/dysregulation	current	
HIV-LPD-P	HIV-associated polymorphic lymphoid proliferation	Immune deficiency/dysregulation	current	
HIV-LPD-T/NK	HIV-associated T- or NK-cell lymphoproliferative disorder or lymphoma	Immune deficiency/dysregulation	current	
HIV-T/NK	HIV-associated T- or NK-cell lymphoma	Immune deficiency/dysregulation	legacy	
IAT-CHL	Iatrogenic immunodeficiency-associated classical Hodgkin lymphoma	Immune deficiency/dysregulation	current	
IAT-LPD	Iatrogenic immunodeficiency-associated lymphoproliferative disorder	Immune deficiency/dysregulation	umbrella	
IAT-LPD-B-cell	Iatrogenic immunodeficiency-associated B-cell lymphoproliferative disorder or lymphoma	Immune deficiency/dysregulation	current	
IAT-LPD-P	Iatrogenic immunodeficiency-associated polymorphic lymphoproliferative disorder	Immune deficiency/dysregulation	current	
IAT-LPD-T/NK	Iatrogenic immunodeficiency-associated T- or NK-cell lymphoproliferative disorder or lymphoma	Immune deficiency/dysregulation	current	
PID-CHL	Primary immunodeficiency-associated classical Hodgkin lymphoma	Immune deficiency/dysregulation	current	
PID-LPD	Primary immunodeficiency-associated lymphoproliferative disorder	Immune deficiency/dysregulation	current	
PID-LPD-B-cell	Primary immunodeficiency-associated B-cell lymphoproliferative disorder	Immune deficiency/dysregulation	current	
PID-LPD-P	Primary immunodeficiency-associated polymorphic lymphoproliferative disorder	Immune deficiency/dysregulation	current	
PID-LPD-T/NK	Primary immunodeficiency-associated T- or NK-cell lymphoproliferative disorder	Immune deficiency/dysregulation	current	
PID-T-ALL/LBL	Primary immunodeficiency-associated T-lymphoblastic leukemia/lymphoma	Immune deficiency/dysregulation	current	
PTLD	Post-transplant lymphoproliferative disorder	Immune deficiency/dysregulation	current	
PTLD-CHL	Classical Hodgkin lymphoma-type post-transplant lymphoproliferative disorder	Immune deficiency/dysregulation	current	
PTLD-IM	Infectious mononucleosis-like post-transplant lymphoproliferative disorder	Immune deficiency/dysregulation	legacy	
PTLD-IM-like	Infectious mononucleosis-like post-transplant lymphoproliferative disorder	Immune deficiency/dysregulation	current	
PTLD-M	Monomorphic post-transplant lymphoproliferative disorder	Immune deficiency/dysregulation	umbrella	
PTLD-M-B-cell	Monomorphic post-transplant lymphoproliferative disorder, B-cell type	Immune deficiency/dysregulation	current	
PTLD-M-T-cell	Monomorphic post-transplant lymphoproliferative disorder, T- or NK-cell type	Immune deficiency/dysregulation	legacy	
PTLD-M-T/NK	Monomorphic post-transplant lymphoproliferative disorder, T- or NK-cell type	Immune deficiency/dysregulation	current	
PTLD-P	Polymorphic post-transplant lymphoproliferative disorder	Immune deficiency/dysregulation	current	
PTLD-PH	Post-transplant plasmacytic hyperplasia	Immune deficiency/dysregulation	current	
EC-PEL	Extracavitary primary effusion lymphoma	KSHV/HHV8-associated B-cell	current	
GLPD	Germinotropic lymphoproliferative disorder	KSHV/HHV8-associated B-cell	current	
KSHV/HHV8-GLPD	KSHV/HHV8-positive germinotropic lymphoproliferative disorder	KSHV/HHV8-associated B-cell	current	
