Source	Entry ID	LNIC Code	WHO-HAEM5 Category	WHO-HAEM5 Family-Class	WHO-HAEM5 Entity-Type	Interlymph 2010 Entity-Type based on WHO-HAEM4	Lineage-Nature	Major Group	Category	Class-Family	Entity-Type	Subtype(s)
T1	001	LNIC-020-001	Mature B-cell neoplasms (M-BCN)	Pre-neoplastic and neoplastic small lymphocytic proliferations (PNSLP)	Monoclonal B-cell lymphocytosis (MBL)	Monoclonal B-cell lymphocytosis, CLL and non-CLL phenotype (MBL)	PM-LN	LPD	Mature B-cell	PNSLP	MBL	Low-count MBL or clonal B-cell expansion, CLL/SLL-type MBL, non-CLL/SLL-type MBL
T1	002	LNIC-100-002	Mature B-cell neoplasms (M-BCN)	Pre-neoplastic and neoplastic small lymphocytic proliferations (PNSLP)	Chronic lymphocytic leukemia/small lymphocytic lymphoma (CLL/SLL)	Chronic lymphocytic leukemia/small lymphocytic lymphoma (CLL/SLL)	LN	NHL	Mature B-cell	PNSLP	CLL/SLL	CLL or SLL
T1	003	LNIC-100-003	Mature B-cell neoplasms (M-BCN)	Splenic B-cell lymphomas and leukemias (SBL)	Hairy cell leukaemia (HCL)	Hairy cell leukemia (HCL)	LN	NHL	Mature B-cell	SBL	HCL	
T1	004	LNIC-100-004	Mature B-cell neoplasms (M-BCN)	Splenic B-cell lymphomas and leukemias (SBL)	Splenic marginal zone lymphoma (SMZL)	Splenic marginal zone lymphoma (SMZL)	LN	NHL	Mature B-cell	SBL	SMZL	
T1	005	LNIC-100-005	Mature B-cell neoplasms (M-BCN)	Splenic B-cell lymphomas and leukemias (SBL)	Splenic diffuse red pulp small B-cell lymphoma (splenic red pulp BCL) (SDRPL)	Splenic diffuse red pulp small B-cell lymphoma (splenic red pulp BCL)	LN	NHL	Mature B-cell	SBL	SDRPL	
T1	006	LNIC-100-006	Mature B-cell neoplasms (M-BCN)	Splenic B-cell lymphomas and leukaemias (SBL)	Splenic B-cell lymphoma/leukemia with prominent nucleoli (SBLPN)	Hairy cell leukemia-variant (HCL-V)  and other variants	LN	NHL	Mature B-cell	SBL	SBLPN	
T1	007	LNIC-100-007	Mature B-cell neoplasms (M-BCN)	Lymphoplasmacytic lymphoma (LPL)	Lymphoplasmacytic lymphoma	Lymphoplasmacytic lymphoma	LN	NHL	Mature B-cell	LPL	LPL	IgM-type LPL/Waldenström macroglobulinaemia (WM) type, non-IgM type LPL
T1	008	LNIC-100-008	Mature B-cell neoplasms (M-BCN)	Marginal Zone Lymphoma (MZL) 	Extranodal marginal zone lymphoma (EMZL) of mucosa associated lymphoid tissue (MALT lymphoma)	Extranodal marginal zone lymphoma of mucosa associated lymphoid tissue (MALT lymphoma)	LN	NHL	Mature B-cell	MZL	EMZL	Immunoproliferative small intestinal disease (alpha heavy chain disease)
T1	009	LNIC-100-009	Mature B-cell neoplasms (M-BCN)	Marginal Zone Lymphoma (MZL) 	Primary cutaneous marginal zone lymphoma (PCMZL)	NEW	LN	NHL	Mature B-cell	MZL	PCMZL	Heavy chain class-switched, non-class-switched
T1	010	LNIC-100-010	Mature B-cell neoplasms (M-BCN)	Marginal Zone Lymphoma (MZL) 	Nodal marginal zone lymphoma (NMZL)	Nodal marginal zone lymphoma (NMZL)	LN	NHL	Mature B-cell	MZL	NMZL	
