Entry ID	LNIC Code	Entity-Type	Subtype(s)	Vocabulary	Code	Vocabulary Preferred Name	Mapping_type	Mapping confidence	Version
001	LNIC-020-001	MBL	MBL (Low-count MBL or clonal B-cell expansion, CLL/SLL-type MBL, non-CLL/SLL-type MBL)	UMLS	C2698259	Monoclonal B-Cell Lymphocytosis	exact	High	2026AA
001	LNIC-020-001	MBL	MBL (Low-count MBL or clonal B-cell expansion, CLL/SLL-type MBL, non-CLL/SLL-type MBL)	ICDO3	9591/1	Monoclonal B-cell lymphocytosis, NOS [2021+]	exact	High	International Classification of Diseases for Oncology, Third Edition, Second Revision (ICD-O-3.2), 2025
001	LNIC-020-001	MBL	MBL (Low-count MBL or clonal B-cell expansion, CLL/SLL-type MBL, non-CLL/SLL-type MBL)	ICDO3	9823/1	Monoclonal B-cell lymphocytosis, CLL-type [2021+]	narrower	High	International Classification of Diseases for Oncology, Third Edition, Second Revision (ICD-O-3.2), 2025
001	LNIC-020-001	MBL	MBL (Low-count MBL or clonal B-cell expansion, CLL/SLL-type MBL, non-CLL/SLL-type MBL)	ICD10	D72.8	Other specified disorders of white blood cells	broader	High	International Statistical Classification of Diseases and Related Health Problems, Tenth Revision (ICD-10)
001	LNIC-020-001	MBL	MBL (Low-count MBL or clonal B-cell expansion, CLL/SLL-type MBL, non-CLL/SLL-type MBL)	EFO	EFO:0006889	monoclonal B-cell lymphocytosis	exact	High	3.91.0
001	LNIC-020-001	MBL	MBL (Low-count MBL or clonal B-cell expansion, CLL/SLL-type MBL, non-CLL/SLL-type MBL)	ICDO4	95911/1	Monoclonal B-cell lymphocytosis, NOS	exact	High	International Classification of Diseases for Oncology, Fourth Edition
001	LNIC-020-001	MBL	MBL (Low-count MBL or clonal B-cell expansion, CLL/SLL-type MBL, non-CLL/SLL-type MBL)	ICDO4	95912/1	Monoclonal B-cell lymphocytosis, non-chronic lymphocytic leukaemia type	narrower	High	International Classification of Diseases for Oncology, Fourth Edition
001	LNIC-020-001	MBL	MBL (Low-count MBL or clonal B-cell expansion, CLL/SLL-type MBL, non-CLL/SLL-type MBL)	ICDO4	98230/1	Monoclonal B-cell lymphocytosis, chronic lymphocytic leukaemia/small lymphocytic lymphoma (CLL/SLL) type	narrower	High	International Classification of Diseases for Oncology, Fourth Edition
002	LNIC-100-002	CLL/SLL	CLL or SLL	UMLS	C0023434	Chronic Lymphocytic Leukemia	narrower	High	2026AA
002	LNIC-100-002	CLL/SLL	CLL or SLL	UMLS	C0855095	Small Lymphocytic Lymphoma	narrower	High	2026AA
002	LNIC-100-002	CLL/SLL	CLL or SLL	ICDO3	9823/3	Chronic lymphocytic leukemia/small lymphocytic lymphoma 	exact	High	International Classification of Diseases for Oncology, Third Edition, Second Revision (ICD-O-3.2), 2025
002	LNIC-100-002	CLL/SLL	CLL or SLL	ICDO3	9670/3	Malignant lymphoma, small B lymphocytic, NOS [PRE-2010 ONLY. FOR 2010+ USE CODE 9823/3]	broader	Moderate	International Classification of Diseases for Oncology, Third Edition, Second Revision (ICD-O-3.2), 2025
002	LNIC-100-002	CLL/SLL	CLL or SLL	ICD9	204.1	Chronic lymphoid leukemia (CLL)	narrower	High	International Classification of Diseases, Ninth Revision (ICD-9)
002	LNIC-100-002	CLL/SLL	CLL or SLL	ICD10CM	C91.10	Chronic lymphocytic leukemia of B-cell type (CLL) not having achieved remission	narrower	High	International Classification of Diseases, Tenth Revision, Clinical Modification (ICD-10-CM), 2025
002	LNIC-100-002	CLL/SLL	CLL or SLL	ICD10CM	C91.11	Chronic lymphocytic leukemia of B-cell type (CLL), in remission	narrower	High	International Classification of Diseases, Tenth Revision, Clinical Modification (ICD-10-CM), 2025
002	LNIC-100-002	CLL/SLL	CLL or SLL	ICD10CM	C91.12	Chronic lymphocytic leukemia of B-cell type (CLL), in relapse	narrower	High	International Classification of Diseases, Tenth Revision, Clinical Modification (ICD-10-CM), 2025
002	LNIC-100-002	CLL/SLL	CLL or SLL	ICD10CM	C83.0	Small cell B-cell lymphoma	narrower	Moderate	International Classification of Diseases, Tenth Revision, Clinical Modification (ICD-10-CM), 2025
002	LNIC-100-002	CLL/SLL	CLL or SLL	ICD10	C91.1	Chronic lymphocytic leukemia (CLL)	narrower	High	International Statistical Classification of Diseases and Related Health Problems, Tenth Revision (ICD-10)
002	LNIC-100-002	CLL/SLL	CLL or SLL	ICD10	C83.0	Non-Hodgkin lymphoma small cell (diffuse)	broader	Moderate	International Statistical Classification of Diseases and Related Health Problems, Tenth Revision (ICD-10)
002	LNIC-100-002	CLL/SLL	CLL or SLL	EFO	MONDO_0003864	chronic lymphocytic leukemia/small lymphocytic lymphoma	exact	High	3.91.0
002	LNIC-100-002	CLL/SLL	CLL or SLL	EFO	MONDO_0004948	B-cell chronic lymphocytic leukemia	narrower	Moderate	3.91.0
002	LNIC-100-002	CLL/SLL	CLL or SLL	ICDO4	98230/3	Chronic lymphocytic leukaemia/small lymphocytic lymphoma, NOS	exact	High	International Classification of Diseases for Oncology, Fourth Edition
003	LNIC-100-003	HCL		UMLS	C0023443	Hairy Cell Leukemia	exact	High	2026AA
003	LNIC-100-003	HCL		ICDO3	9940/3	Hairy cell leukemia (C42.1) 	exact	High	International Classification of Diseases for Oncology, Third Edition, Second Revision (ICD-O-3.2), 2025
003	LNIC-100-003	HCL		ICD9	202.4	Leukemic reticuloendotheliosis	exact	High	International Classification of Diseases, Ninth Revision (ICD-9)
003	LNIC-100-003	HCL		ICD10CM	C91.4	Hairy-cell leukemia not having achieved remission | Hairy-cell leukemia, in remission | Hairy-cell leukemia, in relapse	narrower	High	International Classification of Diseases, Tenth Revision, Clinical Modification (ICD-10-CM), 2025
003	LNIC-100-003	HCL		ICD10	C91.4	Hairy-cell leukemia	exact	High	International Statistical Classification of Diseases and Related Health Problems, Tenth Revision (ICD-10)
003	LNIC-100-003	HCL		EFO	MONDO_0018935	hairy cell leukemia	exact	High	3.91.0
003	LNIC-100-003	HCL		ICDO4	99400/3	Hairy cell leukaemia, NOS	exact	High	International Classification of Diseases for Oncology, Fourth Edition
004	LNIC-100-004	SMZL		UMLS	C0349632	Splenic Marginal Zone B-Cell Lymphoma	exact	High	2026AA
004	LNIC-100-004	SMZL		ICDO3	9689/3	Splenic marginal zone B-cell lymphoma (C42.2) 	exact	High	International Classification of Diseases for Oncology, Third Edition, Second Revision (ICD-O-3.2), 2025
004	LNIC-100-004	SMZL		ICD9	200.3	Marginal zone lymphoma	broader	High	International Classification of Diseases, Ninth Revision (ICD-9)
004	LNIC-100-004	SMZL		ICD10CM	C83.0_	Small cell B-cell lymphoma	broader	High	International Classification of Diseases, Tenth Revision, Clinical Modification (ICD-10-CM), 2025
004	LNIC-100-004	SMZL		ICD10CM	C83.0A	Small cell B-cell lymphoma, in remission	partial	Moderate	International Classification of Diseases, Tenth Revision, Clinical Modification (ICD-10-CM), 2025
004	LNIC-100-004	SMZL		ICD10	C83.0	Non-Hodgkin lymphoma small cell (diffuse)	broader	High	International Statistical Classification of Diseases and Related Health Problems, Tenth Revision (ICD-10)
004	LNIC-100-004	SMZL		EFO	MONDO_0019462	splenic marginal zone lymphoma	exact	High	3.91.0
